EMCS/WeatherStation/humidity,EMCS/WeatherStation/temperature,EMCS/WeatherStation/windSpeed,MACS/ElevationAxis/position,MACS/AzimuthAxis/position,ECS/DomeRotation/actualPosition
22.3393,7.0834,4.01,89.00000587827284,89.999686771811,89.9998
22.5364,6.9916,4.77,89.00000430477624,89.99970866288561,89.9998
22.3378,6.9709,3.3,89.00000514397443,89.99971689356707,89.9998
22.0255,7.0474,3.31,89.00000315087873,89.999706659603,89.9998
22.1541,7.0685,2.29,89.00000371034419,89.99971098343016,89.9998
22.3249,7.0248,0.78,89.00000650767149,89.99971534351583,89.9998
22.5566,6.9771,1.08,89.00000297604578,89.99972167062559,89.9998
22.7298,6.915,1.44,89.00000108784985,89.99971802664547,89.9998
22.6108,6.8894,3.37,88.9999996891862,89.99971971266612,89.9998
22.4822,6.893,3.48,88.99999871012164,89.99971848894145,89.9998
22.7657,6.8304,4.34,88.99999608762731,89.999721344299,89.9998
22.5777,6.8264,4.48,88.99999905978756,89.9997151350294,89.9998
22.2553,6.9248,4.34,88.99999783595686,89.99971751902635,89.9998
22.2246,6.9544,4.66,88.99999773105709,89.99972478885734,89.9998
22.1359,6.9927,5.96,88.99999675199254,89.99973826795792,89.9998
22.026,7.0175,4.91,88.99999608762731,89.9997202384145,89.9998
21.5957,7.1445,4.05,88.9999940945316,89.99972520583019,89.9998
21.4384,7.225,4.54,88.99999661212617,89.9997141379204,89.9998
21.5655,7.225,4.95,88.99999661212617,89.99971758247874,89.9998
21.4844,7.2254,3.15,88.99999811568959,89.99971120098121,89.9998
21.5804,7.2141,2.2,88.99999905978756,89.99971317706994,89.9998
21.5712,7.2167,2.82,88.99999944442007,89.99971203492692,89.9998
21.4974,7.2221,2.74,89.00000108784985,89.99971004977355,89.9998
21.4374,7.2468,3.03,88.99999923462052,89.99970176470433,89.9998
21.4844,7.246,3.53,89.00000129764939,89.99971052113418,89.9998
21.3942,7.2554,5.76,89.00000224174735,89.99971358497815,89.9998
21.2158,7.3173,5.64,89.00000364041101,89.99971015854909,89.9998
21.0791,7.3701,3.95,89.00000528384079,89.99971377533532,89.9998
21.0896,7.3888,3.87,89.0000060531058,89.99968629138576,89.9998
21.162,7.3823,3.28,89.00000458450897,89.99971622278466,89.9998
21.1112,7.3827,1.44,89.00000360544442,89.99972154372081,89.9998
21.1107,7.3827,2.35,89.00000346557805,89.99970978689937,89.9998
21.2134,7.3741,4.86,89.00000091301689,89.99972890419807,89.9998
21.0781,7.3924,3.6,88.99999940945347,89.99972443533687,89.9998
20.9894,7.4278,1.82,88.99999720655822,89.99972028373763,89.9998
20.9726,7.4393,4.06,88.99999496869638,89.99972966562675,89.9998
20.9726,7.4393,4.06,88.99999552816185,89.99971916878849,89.9998
20.8061,7.4595,2.98,88.99999643729322,89.99971511690015,89.9998
20.8114,7.4681,2.11,88.99999759119073,89.99971196240989,89.9998
21.1995,7.449,3.51,89.00000038851803,89.99970539961983,89.9998
21.5113,7.3899,3.52,89.0000024865135,89.9997152709988,89.9998
21.5266,7.3574,2.46,89.00000308094555,89.99971373001219,89.9998
21.5266,7.313,7.57,89.00000388517715,89.99971367562443,89.9998
21.3247,7.3134,6.92,89.00000482927511,89.9997159689751,89.9998
21.1275,7.356,5.88,89.00000419987647,89.99971342181486,89.9998
21.4739,7.3126,6.32,89.00000381524396,89.9997115273078,89.9998
21.2796,7.3687,5.61,89.00000192704803,89.99971165421258,89.9998
21.3031,7.3845,5.25,89.0000020669144,89.99972034719002,89.9998
21.3189,7.3921,5.68,89.00000458450897,89.99972771673191,89.9998
21.6144,7.3275,3.39,89.00000364041101,89.9997206372581,89.9998
21.4782,7.3278,5.92,89.00000318584532,89.99970937899116,89.9998
21.4719,7.3235,6.2,89.00000150744894,89.99971349433189,89.9998
21.4153,7.3202,7.79,89.00000028361825,89.99971505344776,89.9998
21.5401,7.2793,5.28,88.99999738139118,89.9997121980902,89.9998
21.3837,7.2985,5.68,88.99999703172527,89.99972379174835,89.9998
21.4086,7.305,5.42,88.99999587782776,89.9997087625965,89.9998
21.683,7.242,3.98,88.99999647225981,89.99974163999923,89.9998
21.5468,7.2565,2.74,88.99999447916412,89.99971501718925,89.9998
21.4139,7.2873,1.6,88.99999783595686,89.99971409259727,89.9998
21.4576,7.2924,1.76,88.99999563306162,89.99973391693689,89.9998
21.5377,7.2859,3.56,88.99999783595686,89.99970645111658,89.9998
21.6221,7.2649,3.89,88.99999989898575,89.99971104688255,89.9998
21.4513,7.2609,2.0,89.00000066825075,89.99971998460494,89.9998
21.3184,7.2801,1.64,89.00000259141328,89.99970723973914,89.9998
21.1405,7.3079,0.86,89.00000615800558,89.99971057552193,89.9998
20.9802,7.334,1.48,89.00000528384079,89.999720736969,89.9998
20.8905,7.3556,1.42,89.00000570343988,89.99973049957245,89.9998
20.9289,7.3676,1.74,89.00000353551124,89.9997404253392,89.9998
20.9217,7.373,1.69,89.00000315087873,89.99973173236174,89.9998
21.0071,7.3741,1.2,89.00000056335098,89.99970446596323,89.9998
20.9908,7.3683,2.1,88.99999717159163,89.99971557919613,89.9998
21.1006,7.3491,2.14,88.99999615756049,89.99972203321067,89.9998
21.0651,7.3502,1.62,88.99999447916412,89.99971476337969,89.9998
21.1357,7.3545,1.85,88.99999535332888,89.99971393849862,89.9998
21.3199,7.3549,2.48,89.00000346557805,89.99971056645731,89.9998
21.4081,7.3502,3.61,89.00000028361825,89.99968407961673,89.9998
21.6542,7.3329,2.15,88.9999988849546,89.99971135507987,89.9998
22.0112,7.2873,3.8,88.99999940945347,89.99970901640606,89.9998
22.2002,7.2562,2.82,89.00000017871848,89.99971172672959,89.9998
22.2644,7.2276,2.48,89.0000016822819,89.999709795964,89.9998
22.3935,7.1866,4.61,88.99999829052256,89.99971485402595,90.0
22.3954,7.1855,4.89,88.99999996891893,89.99971415604966,89.9998
22.1853,7.2054,1.45,89.00000045845121,89.99970818246037,89.9998
21.9598,7.229,1.85,89.00000094798348,89.99970578033417,89.9998
22.0356,7.2334,2.56,88.9999996891862,89.99971123723972,89.9998
22.3762,7.1985,3.19,89.0000016822819,89.9997153344512,90.0
22.4064,7.1819,2.52,89.00000038851803,89.9997271819189,90.0
22.4175,7.1721,3.36,88.99999912972075,89.9997143010837,90.0
22.2563,7.2112,3.69,88.99999832548914,89.9997075932596,90.0
22.1373,7.2399,2.28,88.99999811568959,89.99971244283513,90.0
22.12,7.2656,0.67,88.99999363996592,89.99970579846342,90.0
22.1028,7.2757,0.4,88.99999465399706,89.99970879885501,90.0
22.1349,7.2793,0.62,88.99999559809503,89.99970817339573,89.9998
22.1666,7.2761,3.26,88.99999458406388,89.99971338555636,89.9998
22.5456,7.2221,3.63,88.99999682192572,89.9997099953858,89.9998
22.618,7.1692,4.54,88.9999968918589,89.9997117992466,90.0
22.6545,7.1554,4.57,88.99999748629095,89.99971708392424,89.9998
22.8607,7.11,4.42,88.99999559809503,89.99970241735748,89.9998
23.0565,7.0696,2.89,88.99999521346253,89.99973177768487,89.9998
23.0617,7.031,8.33,88.99999507359617,89.99971357591353,89.9998
22.6137,7.131,6.98,88.99982142950422,89.99972479792196,89.9998
22.534,7.2127,6.63,88.99930693108116,89.99972737227607,89.9998
22.5225,7.2482,5.3,88.99930651148208,89.99970475603129,89.9998
22.3465,7.2736,2.82,88.9993044134866,89.99970827310663,89.9998
22.4894,7.275,3.35,88.99930616181615,89.99970244455137,89.9998
22.4842,7.2757,2.64,88.9993056023507,89.99968914674332,89.9998
22.5566,7.2891,6.08,88.9993071758473,89.99968666303548,89.9998
22.6909,7.2902,3.8,88.99930791014572,89.99971479057356,90.0
23.0003,7.2808,3.87,88.99930969344187,89.999717600608,90.0
22.9111,7.2848,2.5,88.99931070747301,89.99969686074104,90.0
22.7398,7.2804,0.73,88.99931336493394,89.99969575485652,90.0
22.6775,7.2826,2.06,88.99931416916554,89.99972186098276,90.0
22.7633,7.2909,4.45,88.99931493843054,89.99971914159461,90.0
22.7163,7.2975,6.4,88.9993143439985,89.99970723067452,90.0
22.8324,7.3151,7.55,88.99931224600303,89.99967459801671,90.0
23.0301,7.3668,6.06,88.99930958854209,89.99969525630203,90.0
23.1155,7.4033,3.18,88.99930874934391,89.99969319863166,90.0
23.0493,7.4123,3.75,88.99930553241751,89.99968155058575,90.0
23.1102,7.4072,4.68,88.99930633664911,89.9997293483648,90.0
23.2766,7.3827,3.73,88.99930665134843,89.9997275173101,90.0
23.3908,7.4116,7.44,88.99930766537958,89.99971314081142,90.0
23.2176,7.444,3.8,88.9993072108139,89.99969041579112,90.0
23.3078,7.4786,1.94,88.99930651148208,89.99975617059658,90.0
23.3232,7.4876,0.58,88.99930374912137,89.9996984833093,90.0
23.3568,7.4948,0.39,88.99930525268479,89.99974964406502,90.0
23.4071,7.4973,1.5,88.99930273509021,89.99973407103555,89.9998
23.4215,7.4984,1.26,88.99930570725047,89.99971186269899,90.0
23.6254,7.4789,0.44,88.9993072108139,89.9996994169659,90.0
23.7468,7.4617,7.48,88.99930784021254,89.99968662677696,90.0
23.7218,7.4501,6.86,88.99931259566894,89.9997275173101,90.0
24.0298,7.3802,2.37,88.999314728631,89.99969497529858,90.0
24.0279,7.352,2.76,88.999315497896,89.99970797397394,89.9998
24.1085,7.3126,4.17,88.99931378453304,89.99965903405187,90.0
24.0634,7.2746,7.25,88.99931098720575,89.9997255774799,90.0
24.0749,7.2895,5.66,88.99930857451095,89.99971935914566,90.0
24.2078,7.2525,4.04,88.99931028787393,89.99972650207187,90.0
24.0533,7.2562,7.73,88.99930105669384,89.99973793256672,90.0
23.9674,7.2949,5.14,88.99930672128161,89.99971205305617,89.9998
23.8648,7.3224,9.92,88.99930420368705,89.99971564264852,90.0
24.0135,7.318,9.21,88.99930430858682,89.99971534351583,89.9998
23.965,7.2641,7.44,88.99930448341978,89.99971278729096,90.0
24.0092,7.2743,5.99,88.99930448341978,89.9997106299097,90.0
24.1857,7.2587,4.68,88.99930385402114,89.99971359404279,89.9998
24.0869,7.2757,4.89,88.99930609188297,89.99971369375368,90.0
24.332,7.2547,4.72,88.99930448341978,89.99971118285195,89.9998
24.3104,7.2286,4.66,88.99930700101434,89.99970956028369,90.0
24.1723,7.2569,4.23,88.99930738564684,89.99971010416132,89.9998
24.048,7.2739,3.98,88.99930888921027,89.9997089620183,90.0
24.0092,7.2895,3.53,88.99930990324141,89.9997099953858,90.0
23.7895,7.3047,6.6,88.99931214110325,89.99970976877012,89.9998
23.8413,7.2931,5.2,88.99931336493394,89.99970888043666,90.0
23.9017,7.2823,4.66,88.99931326003417,89.999709795964,89.9998
23.8792,7.2989,3.3,88.99931504333033,89.9997094968313,90.0
23.8331,7.3076,3.88,88.99931416916554,89.99971374814145,90.0
24.0528,7.3347,3.61,88.99931242083598,89.99971489028447,90.0
24.0974,7.426,3.87,88.99930822484504,89.99971530725732,90.0
23.9756,7.4628,4.94,88.9993056023507,89.9997178362883,90.0
23.6475,7.471,5.27,88.99930458831955,89.99971444611774,90.0
23.5942,7.4804,5.21,88.99930532261797,89.9997115001139,90.0
23.8015,7.4072,6.25,88.9993072108139,89.999710330777,90.0
23.9339,7.3632,7.26,88.99931014800755,89.99970743009631,90.0
24.119,7.33,6.02,88.99931056760664,89.99970826404201,90.0
24.0922,7.2888,6.25,88.99931360970008,89.99970734851466,90.0
24.0231,7.2949,5.17,88.9993147635976,89.99970888043666,90.0
23.8326,7.2848,3.85,88.99931521816328,89.99971095623627,90.0
23.7194,7.3101,4.1,88.99931465869783,89.99971175392346,90.0
23.707,7.3119,0.54,88.99931406426577,89.99971230686573,90.0
23.6662,7.3079,2.86,88.9993135397669,89.9997148993491,90.0
23.6662,7.3079,2.86,88.99931081237278,89.99971577861793,90.0
23.7607,7.2793,4.87,88.9993087843105,89.99971472712117,90.0
23.6182,7.2536,5.14,88.99930549745092,89.99971427388982,90.0
23.5084,7.2507,4.44,88.99930315468931,89.99971019480759,90.0
23.4561,7.254,4.59,88.99930413375387,89.99970934273264,90.0
23.5592,7.254,4.36,88.99930661638184,89.99971003164431,90.0
23.6647,7.2746,3.56,88.99931042774028,89.99970859943322,90.0
23.8355,7.2685,1.16,87.13910931482673,89.9997085269162,90.0
23.9478,7.225,2.03,83.88891535903045,89.99970859036858,90.0
23.801,7.2192,1.3,80.70366758048128,89.99971155450167,90.0
23.7957,7.2149,2.93,77.38853297215931,89.999712932325,90.0
